index,property_type,room_type,accommodates,year_month,active_listings_rate,min_price_active,max_price_active,median_price_active,avg_price_active,distinct_hosts,superhost_rate,avg_review_score_active,active_listings,inactive_listings,total_stays,avg_estimated_revenue_per_active,pct_change_active_listings,pct_change_inactive_listings
109,Apartment,Shared room,2,2020-07,100.0,0.0,390.0,55.0,69.25974025974025,75.0,0.0,87.26923076923077,77.0,0.0,1478.0,1142.3376623376623,-15.384615384615385,
110,Apartment,Shared room,3,2020-05,100.0,5.0,51.0,30.0,30.5,4.0,0.0,87.0,6.0,0.0,63.0,293.5,,
111,Apartment,Shared room,3,2020-06,100.0,4.0,50.0,29.5,30.0,5.0,0.0,87.0,8.0,0.0,71.0,247.0,33.33333333333333,
112,Apartment,Shared room,3,2020-07,100.0,22.0,50.0,36.0,33.714285714285715,4.0,0.0,87.0,7.0,0.0,48.0,277.0,-12.5,
113,Apartment,Shared room,4,2020-05,100.0,31.0,119.0,40.0,49.69230769230769,9.0,0.0,82.54545454545455,13.0,0.0,130.0,427.6923076923077,,
114,Apartment,Shared room,4,2020-06,100.0,30.0,90.0,34.0,40.90909090909091,8.0,0.0,86.44444444444444,11.0,0.0,99.0,417.27272727272725,-15.384615384615385,
115,Apartment,Shared room,4,2020-07,100.0,35.0,91.0,40.0,47.666666666666664,6.0,0.0,83.75,6.0,0.0,61.0,440.1666666666667,-45.45454545454546,
116,Apartment,Shared room,5,2020-05,100.0,21.0,261.0,141.0,141.0,2.0,0.0,91.0,2.0,0.0,30.0,3915.0,,
117,Apartment,Shared room,5,2020-06,100.0,21.0,243.0,132.0,132.0,2.0,0.0,91.0,2.0,0.0,30.0,3645.0,0.0,
118,Apartment,Shared room,5,2020-07,100.0,22.0,244.0,133.0,133.0,2.0,0.0,91.0,2.0,0.0,30.0,3660.0,0.0,
119,Apartment,Shared room,7,2020-05,100.0,35.0,99.0,67.0,67.0,2.0,0.0,80.0,2.0,0.0,60.0,2010.0,,
120,Apartment,Shared room,7,2020-06,100.0,34.0,100.0,67.0,67.0,2.0,0.0,80.0,2.0,0.0,60.0,2010.0,0.0,
121,Apartment,Shared room,7,2020-07,100.0,34.0,100.0,67.0,67.0,2.0,0.0,80.0,2.0,0.0,60.0,2010.0,0.0,
122,Barn,Entire home/apt,2,2020-05,100.0,275.0,275.0,275.0,275.0,1.0,100.0,100.0,1.0,0.0,0.0,0.0,,
123,Barn,Entire home/apt,2,2020-06,100.0,275.0,275.0,275.0,275.0,1.0,100.0,100.0,1.0,0.0,3.0,825.0,0.0,
124,Barn,Entire home/apt,2,2020-08,100.0,275.0,275.0,275.0,275.0,1.0,100.0,100.0,1.0,0.0,18.0,4950.0,0.0,
125,Barn,Entire home/apt,2,2020-09,100.0,275.0,275.0,275.0,275.0,1.0,100.0,100.0,1.0,0.0,29.0,7975.0,0.0,
126,Barn,Entire home/apt,2,2020-10,100.0,275.0,275.0,275.0,275.0,1.0,100.0,100.0,1.0,0.0,15.0,4125.0,0.0,
127,Barn,Entire home/apt,2,2020-11,100.0,220.0,275.0,247.5,247.5,2.0,100.0,100.0,2.0,0.0,33.0,4180.0,100.0,
128,Barn,Entire home/apt,2,2020-12,100.0,250.0,275.0,262.5,262.5,2.0,100.0,99.5,2.0,0.0,57.0,7462.5,0.0,
129,Barn,Entire home/apt,2,2021-01,100.0,250.0,275.0,262.5,262.5,2.0,100.0,99.5,2.0,0.0,48.0,6225.0,0.0,
130,Barn,Entire home/apt,2,2021-02,100.0,250.0,275.0,262.5,262.5,2.0,100.0,99.5,2.0,0.0,46.0,5950.0,0.0,
131,Barn,Entire home/apt,2,2021-03,100.0,250.0,275.0,262.5,262.5,2.0,100.0,99.5,2.0,0.0,40.0,5125.0,0.0,
132,Barn,Entire home/apt,2,2021-04,100.0,250.0,275.0,262.5,262.5,2.0,100.0,99.5,2.0,0.0,59.0,7737.5,0.0,
133,Barn,Entire home/apt,4,2021-02,100.0,450.0,450.0,450.0,450.0,1.0,100.0,99.0,1.0,0.0,30.0,13500.0,,
134,Barn,Entire home/apt,4,2021-03,100.0,450.0,450.0,450.0,450.0,1.0,100.0,99.0,1.0,0.0,30.0,13500.0,0.0,
135,Barn,Entire home/apt,6,2020-05,100.0,350.0,350.0,350.0,350.0,1.0,100.0,100.0,1.0,0.0,0.0,0.0,,
136,Barn,Entire home/apt,6,2020-06,100.0,350.0,350.0,350.0,350.0,1.0,100.0,100.0,1.0,0.0,4.0,1400.0,0.0,
137,Barn,Entire home/apt,6,2020-07,100.0,350.0,350.0,350.0,350.0,1.0,100.0,100.0,1.0,0.0,22.0,7700.0,0.0,
138,Barn,Entire home/apt,6,2020-08,100.0,400.0,400.0,400.0,400.0,1.0,100.0,100.0,1.0,0.0,16.0,6400.0,0.0,
139,Barn,Entire home/apt,6,2020-09,100.0,400.0,400.0,400.0,400.0,1.0,100.0,100.0,1.0,0.0,21.0,8400.0,0.0,
140,Barn,Entire home/apt,6,2020-10,100.0,450.0,450.0,450.0,450.0,1.0,100.0,100.0,1.0,0.0,30.0,13500.0,0.0,
141,Barn,Entire home/apt,6,2020-11,100.0,450.0,450.0,450.0,450.0,1.0,100.0,100.0,1.0,0.0,13.0,5850.0,0.0,
142,Barn,Entire home/apt,6,2020-12,100.0,650.0,650.0,650.0,650.0,1.0,100.0,99.0,1.0,0.0,25.0,16250.0,0.0,
143,Barn,Entire home/apt,6,2021-01,100.0,650.0,650.0,650.0,650.0,1.0,100.0,99.0,1.0,0.0,12.0,7800.0,0.0,
144,Barn,Private room,1,2020-07,100.0,16.0,16.0,16.0,16.0,1.0,0.0,70.0,1.0,0.0,19.0,304.0,,
145,Barn,Private room,2,2020-05,100.0,75.0,75.0,75.0,75.0,1.0,100.0,99.0,1.0,0.0,30.0,2250.0,,
146,Barn,Private room,2,2020-06,100.0,16.0,75.0,55.0,48.666666666666664,3.0,33.33333333333333,84.5,3.0,0.0,35.0,776.6666666666666,200.0,
147,Barn,Private room,2,2020-07,100.0,43.0,76.0,56.0,58.333333333333336,3.0,33.33333333333333,99.0,3.0,0.0,30.0,760.0,0.0,
148,Barn,Shared room,2,2020-05,100.0,34.0,34.0,34.0,34.0,1.0,0.0,77.0,1.0,0.0,0.0,0.0,,
149,Barn,Shared room,2,2020-06,100.0,16.0,16.0,16.0,16.0,1.0,0.0,75.0,1.0,0.0,5.0,80.0,0.0,
150,Bed and breakfast,Hotel room,1,2020-05,100.0,41.0,44.0,42.5,42.5,2.0,50.0,94.5,2.0,0.0,30.0,660.0,,
151,Bed and breakfast,Hotel room,1,2020-06,100.0,41.0,44.0,42.5,42.5,2.0,50.0,94.5,2.0,0.0,30.0,660.0,0.0,
152,Bed and breakfast,Hotel room,1,2020-07,100.0,42.0,45.0,43.5,43.5,2.0,50.0,94.5,2.0,0.0,30.0,675.0,0.0,
153,Bed and breakfast,Hotel room,2,2020-05,100.0,91.0,309.0,207.0,212.2,3.0,66.66666666666666,82.0,5.0,0.0,92.0,4660.8,,
154,Bed and breakfast,Hotel room,2,2020-06,100.0,90.0,309.0,207.0,211.8,3.0,66.66666666666666,82.0,5.0,0.0,75.0,3623.0,0.0,
155,Bed and breakfast,Hotel room,2,2020-07,100.0,91.0,309.0,207.0,212.2,3.0,66.66666666666666,82.0,5.0,0.0,54.0,2314.4,0.0,
156,Bed and breakfast,Hotel room,3,2020-05,100.0,259.0,400.0,329.5,329.5,1.0,100.0,98.0,2.0,0.0,60.0,9885.0,,
